Timestamp,OfferedLoad,RngRun,FlowSrc,FlowDst,Throughput,Delay
2021-05-24 22:05,1,1,10.1.11.9,10.1.11.1,0.267802,0.167255
2021-05-24 22:05,1,1,10.1.3.6,10.1.3.1,0.97304,0.00182824
2021-05-24 22:05,1,1,10.1.13.9,10.1.13.1,0.97304,0.00149069
2021-05-24 22:05,1,1,10.1.1.4,10.1.1.1,0.971661,0.0013011
2021-05-24 22:05,1,1,10.1.3.2,10.1.3.1,0.971764,0.00290704
2021-05-24 22:05,1,1,10.1.18.7,10.1.18.1,0.683886,0.28154
2021-05-24 22:05,1,1,10.1.14.6,10.1.14.1,0.964996,0.00412834
2021-05-24 22:05,1,1,10.1.15.5,10.1.15.1,0.943157,0.0220139
2021-05-24 22:05,1,1,10.1.13.4,10.1.13.1,0.192105,0.200364
2021-05-24 22:05,1,1,10.1.9.3,10.1.9.1,0.17763,0.31602
2021-05-24 22:05,1,1,10.1.5.3,10.1.5.1,0.960211,0.00649027
2021-05-24 22:05,1,1,10.1.0.7,10.1.0.1,0.744402,0.00462879
2021-05-24 22:05,1,1,10.1.15.9,10.1.15.1,0.965075,0.00489782
2021-05-24 22:05,1,1,10.1.17.6,10.1.17.1,0.911593,0.139048
2021-05-24 22:05,1,1,10.1.0.9,10.1.0.1,0.963609,0.00974883
2021-05-24 22:05,1,1,10.1.2.4,10.1.2.1,0.0940589,0.0833242
2021-05-24 22:05,1,1,10.1.2.6,10.1.2.1,0.973051,0.00120217
2021-05-24 22:05,1,1,10.1.13.3,10.1.13.1,0.349545,0.0836173
2021-05-24 22:05,1,1,10.1.2.3,10.1.2.1,0.971764,0.00131034
2021-05-24 22:05,1,1,10.1.5.8,10.1.5.1,0.929619,0.00515436
2021-05-24 22:05,1,1,10.1.11.4,10.1.11.1,0.748041,0.294124
2021-05-24 22:05,1,1,10.1.17.9,10.1.17.1,0.972794,0.00233756
2021-05-24 22:05,1,1,10.1.3.5,10.1.3.1,0.92488,0.0665515
2021-05-24 22:05,1,1,10.1.12.6,10.1.12.1,0.641116,0.341268
2021-05-24 22:05,1,1,10.1.3.9,10.1.3.1,0.0674496,0.0658968
2021-05-24 22:05,1,1,10.1.18.8,10.1.18.1,0.965258,0.00379818
2021-05-24 22:05,1,1,10.1.3.7,10.1.3.1,0.965294,0.0041917
2021-05-24 22:05,1,1,10.1.14.2,10.1.14.1,0.962657,0.00852315
2021-05-24 22:05,1,1,10.1.6.7,10.1.6.1,0.969531,0.00255825
2021-05-24 22:05,1,1,10.1.11.7,10.1.11.1,0.319957,0.435288
2021-05-24 22:05,1,1,10.1.5.4,10.1.5.1,0.960009,0.00544838
2021-05-24 22:05,1,1,10.1.3.11,10.1.3.1,0.963866,0.0115187
2021-05-24 22:05,1,1,10.1.8.8,10.1.8.1,0.949517,0.0206162
2021-05-24 22:05,1,1,10.1.4.9,10.1.4.1,0.914447,0.0131718
2021-05-24 22:05,1,1,10.1.12.5,10.1.12.1,0.966525,0.0040103
2021-05-24 22:05,1,1,10.1.0.8,10.1.0.1,0.212186,0.357562
2021-05-24 22:05,1,1,10.1.9.6,10.1.9.1,0.962633,0.00837756
2021-05-24 22:05,1,1,10.1.18.11,10.1.18.1,0.183893,0.259407
2021-05-24 22:05,1,1,10.1.8.5,10.1.8.1,0.946798,0.0727378
